elavskode,matrnr,esr_ejdnr
20151,3e,1510023460
20151,3eæ,1510023495
20151,3cf,1510023398
20151,3m,1510023363
20151,3ez,1510023509
20151,3fy,1510087388
20151,3en,1510023533
20151,3ds,1510023347
20151,12iæ,1510026575
20151,3eo,1510023568
20151,3n,1510023339
20151,3gc,1510023525
20151,3fh,1510000576
20151,3er,1510023622
20151,3o,1510023282
20151,3p,1510023258
20151,30aa,1510023932
20151,30g,1510023959
20151,30ø,1510023924
20151,30e,1510023983
20151,30ad,1510023975
20151,30k,1510023541
20151,30l,1510023517
20151,30ae,1510023940
20151,3et,1510023606
20151,3eu,1510023592
20151,13c,1510071945
20151,13x,1510015409
20151,13h,1510015417
20151,122b,1510071945
20151,122a,1510015379
20151,28y,1510026273
20151,28r,1510026265
20151,28s,1510026303
20151,28v,1510001947
20151,28t,1510026311
20151,28u,1510026338
20151,28a,1510026354
20151,28n,1510026370
20151,28z,1510026397
20151,21g,1510026443
20151,28ab,1510026435
20151,28æ,1510026419
20151,21b,1510001726
20151,28aa,1510026478
20151,28ø,1510026494
20151,12kb,1510026516
20151,12ka,1510026532
20151,12iø,1510026559
20151,12kd,1510026451
20151,12ke,1510026486
20151,12iz,1510026583
20151,12kf,1510026508
20151,12iy,1510026605
20151,12kg,1510026524
20151,12kh,1510026540
20151,12ix,1510026613
20151,25h,1510001645
20151,12ki,1510026567
20151,24c,1510014704
20151,14aø,1510031781
20151,121u,1510009727
20151,14ci,1510030890
20151,5af,1510022634
20151,14cm,1510022650
20151,121bp,1510016677
20151,14z,1510031765
20151,14as,1510037356
20151,14pb,1510031803
20151,5f,1510030874
20151,5ag,1510022642
20151,14ca,1510031773
20151,5am,1510030866
20151,14cr,1510037305
20151,14rx,1510022677
20151,14pa,1510037216
20151,14bb,1510037232
20151,14ck,1510037240
20151,14ax,1510037283
20151,14ba,1510037267
20151,10ey,1510143326
20151,14y,1510037348
20151,160,1510002242
20151,5ai,1510030882
20151,5ah,1510022669
20151,5h,1510030858
20151,14x,1510031854
20151,14bh,1510037259
20151,14be,1510037321
20151,14aq,1510037313
20151,14cs,1510037291
20151,8hp,1510136796
20151,8or,1510149703
20151,8oq,1510149702
20151,8op,1510149701
20151,8ok,1510149693
20151,8oo,1510149700
20151,8os,1510149699
20151,8on,1510149698
20151,26bf,1510030807
20151,26ba,1510022065
20151,26bb,1510022081
20151,26bc,1510022111
20151,26ax,1510022073
20151,26ay,1510022103
20151,26az,1510022138
20151,2bs,1510000312
20151,26av,1510021530
20151,26ao,1510021557
20151,26ap,1510021573
20151,26aq,1510021603
20151,8og,1510030807
20151,26m,1510001890
20151,26at,1510012272
20151,8my,1510136206
20151,2bp,1510000312
20151,26ah,1510021549
20151,26au,1510084842
20151,26ai,1510021565
20151,26ak,1510021581
20151,26al,1510021611
20151,2bq,1510000312
20151,7000cø,0
20151,8mv,1510149176
20151,8mu,1510149175
20151,8mh,1510149163
20151,8mi,1510149164
20151,8mk,1510149165
20151,8mg,1510149162
20151,8mf,1510149161
20151,8mt,1510149174
20151,8me,1510149160
20151,8ms,1510149173
20151,8mr,1510149172
20151,8md,1510149159
20151,8mc,1510149158
20151,8mb,1510149157
20151,8mq,1510149171
20151,8ma,1510149156
20151,8mp,1510149170
20151,8hy,1510136842
20151,8hn,1510136206
20151,8mo,1510149169
20151,8mz,1510136206
20151,8lø,1510149155
20151,8mn,1510149168
20151,8mm,1510149167
20151,8læ,1510149154
20151,8ml,1510149166
20151,8ly,1510149152
20151,8lz,1510149153
20151,26af,1510030807
20151,121bo,1510035167
20151,121ba,1510035191
20151,121bb,1510035183
20151,8od,1510030807
20151,159b,1510002234
20151,121s,1510035248
20151,121bæ,1510035248
20151,121db,1510148069
20151,121t,1510035205
20151,121da,1510148050
20151,121ck,1510009719
20151,121al,1510035175
20151,10c,1510015379
20151,14bm,1510031714
20151,14bo,1510031722
20151,14br,1510031692
20151,14bs,1510031684
20151,14bq,1510031749
20151,14cg,1510031706
20151,14ch,1510031757
20151,14b,1510030920
20151,14pe,1510030912
20151,14cq,1510030904
20151,14cl,1510022650
20151,2f,1510030777
20151,2g,1510030769
20151,2x,1510009182
20151,2ad,1510012388
20151,2al,1510012361
20151,2p,1510009344
20151,2y,1510009204
20151,2i,1510030750
20151,2ae,1510012418
20151,8kc,1510139892
20151,8io,1510139183
20151,8ii,1510139205
20151,8in,1510139183
20151,8kh,1510139973
20151,8nz,1510149481
20151,8ny,1510149480
20151,14by,1510032052
20151,8nx,1510149479
20151,8næ,1510149482
20151,8nv,1510149478
20151,8nu,1510149477
20151,8kg,1510139973
